part_number,supplier_code,supplier_part_number,supplier_cost,is_preferred
008295,BEN,008295,53.0,True
008295W,BEN,008295W,0.0,True
008587,BEN,008587,17.25,True
008598W,BEN,008598W,0.0,True
008648,BEN,008648,0.0,True
008709,BEN,008709,130.0,True
008709W,BEN,008709W,0.0,True
009031,BEN,009031,122.0,True
009290,BEN,009290,65.0,True
009562,BEN,009562,0.0,True
009574,BEN,009574,163.0,True
009575,BEN,009575,163.0,True
009583W,BEN,009583W,0.0,True
010-00029,CHF,010-00029,400.0,True
010-00041,CHF,010-00041,100.0,True
010-00042,CHF,010-00042,100.0,True
010-00671-00,PS,010-00671-00,209.99,True
010-01516-01,CW,010-01516-01,188.99,True
010-01961-00,PS,010-01961-00,209.99,True
010-02093-51,GRN,010-02093-51,1730.75,True
010-02366-60,PS,010-02366-60,1499.99,True
010-02366-61,GRN,010-02366-61,760.0,True
010-02367-61,PS,010-02367-61,3099.99,True
010-02552-00,PS,010-02552-00,419.99,True
010-02553-00,PS,010-02553-00,519.99,True
010-11326-00,PS,010-11326-00,249.99,True
010-11617-10,CW,010-11617-10,25.19,True
010-12719-00,PS,010-12719-00,29.99,True
010-5007,CHF,010-5007,400.0,True
010-5008,CHF,010-5008,400.0,True
010-518,CHF,010-518,75.0,True
010-9518,CHF,010-9518,15.0,True
010555,BEN,010555,1875.0,True
010555W,BEN,010555W,0.0,True
010556,BEN,010556,0.0,True
010756,BEN,010756,1875.0,True
010756W,BEN,010756W,0.0,True
010861W,BEN,010861W,0.0,True
011210W,BEN,011210W,0.0,True
011212,BEN,011212,36.0,True
011212W,BEN,011212W,0.0,True
011284,BEN,011284,0.0,True
011367,BEN,011367,2.04,True
011398W,BEN,011398W,0.0,True
011449,BEN,011449,44.0,True
011503,BEN,011503,20.0,True
011504,BEN,011504,50.0,True
011505,BEN,011505,32.0,True
011518,BEN,011518,6.0,True
011611,BEN,011611,10.0,True
011611W,BEN,011611W,0.0,True
011612,BEN,011612,10.0,True
011612W,BEN,011612W,0.0,True
011686,BEN,011686,0.0,True
011714W,BEN,011714W,0.0,True
011781,BEN,011781,123.0,True
011824,BEN,011824,20.0,True
011881,BEN,011881,46.0,True
011906,BEN,011906,20.0,True
011930,BEN,011930,0.0,True
011943,BEN,011943,0.0,True
011943W,BEN,011943W,0.0,True
011944,BEN,011944,69.0,True
011948,BEN,011948,19.0,True
011970,BEN,011970,0.0,True
011994,BEN,011994,0.0,True
011994W,BEN,011994W,0.0,True
012062,BEN,012062,1440.0,True
012062D,BEN,012062D,1008.0,True
012062W,BEN,012062W,0.0,True
012063,BEN,012063,1175.0,True
012065,BEN,012065,1170.0,True
012086,BEN,012086,71.0,True
012089,BEN,012089,0.0,True
012092,BEN,012092,0.0,True
012098,BEN,012098,28.0,True
012098W,BEN,012098W,0.0,True
012100,BEN,012100,95.0,True
012100W,BEN,012100W,0.0,True
012102,BEN,012102,105.0,True
012102W,BEN,012102W,0.0,True
012103,BEN,012103,40.0,True
012103W,BEN,012103W,0.0,True
012103W-EXTRA,BEN,012103W-EXTRA,0.0,True
012126,BEN,012126,0.0,True
012132,BEN,012132,27.75,True
012132W,BEN,012132W,0.0,True
012199W,BEN,012199W,0.0,True
012224W,BEN,012224W,0.0,True
012255W,BEN,012255W,0.0,True
012280,BEN,012280,8.75,True
012288,BEN,012288,4.0,True
012290,BEN,012290,0.0,True
012290W,BEN,012290W,0.0,True
012296,BEN,012296,14.0,True
012296W,BEN,012296W,0.0,True
012312,BEN,012312,0.0,True
012317,BEN,012317,22.0,True
012317W,BEN,012317W,0.0,True
012321W,BEN,012321W,0.0,True
012323,BEN,012323,24.0,True
012323W,BEN,012323W,0.0,True
012329,BEN,012329,1.25,True
012357,BEN,012357,8.0,True
012358,BEN,012358,12.75,True
012359,BEN,012359,13.75,True
012362,BEN,012362,10.0,True
012362W,BEN,012362W,0.0,True
012363,BEN,012363,10.5,True
012363W,BEN,012363W,0.0,True
012364,BEN,012364,10.0,True
012371,BEN,012371,69.0,True
012371W,BEN,012371W,0.0,True
012379,BEN,012379,0.0,True
012493,BEN,012493,32.0,True
012493W,BEN,012493W,0.0,True
012513,BEN,012513,76.0,True
012755W,BEN,012755W,0.0,True
012787W,BEN,012787W,0.0,True
012797,BEN,012797,31.0,True
012797W,BEN,012797W,0.0,True
012894,BEN,012894,0.0,True
012904,BEN,012904,860.0,True
012904W,BEN,012904W,0.0,True
012905,BEN,012905,0.0,True
012911,BEN,012911,285.0,True
012981,BEN,012981,0.0,True
012991,BEN,012991,0.0,True
013000,BEN,013000,19.0,True
013142,BEN,013142,31.0,True
013146,BEN,013146,0.0,True
013236,BEN,013236,60.0,True
013314,BEN,013314,3.0,True
013315,BEN,013315,3.0,True
013318,BEN,013318,1425.0,True
013387W,BEN,013387W,0.0,True
013389,BEN,013389,23.0,True
013462,BEN,013462,0.0,True
01349,BAR,01349,0.0,True
013520,BEN,013520,195.0,True
013576,BEN,013576,41.0,True
013576W,BEN,013576W,0.0,True
013577,BEN,013577,43.0,True
013577W,BEN,013577W,0.0,True
013579,BEN,013579,1040.0,True
013579W,BEN,013579W,0.0,True
013731W,BEN,013731W,0.0,True
013732,BEN,013732,0.0,True
013733,BEN,013733,0.0,True
013740W,BEN,013740W,0.0,True
013741W,BEN,013741W,0.0,True
013749,BEN,013749,0.0,True
013757,BEN,013757,180.0,True
013758,BEN,013758,78.0,True
013759W,BEN,013759W,0.0,True
013773W,BEN,013773W,0.0,True
013948W,BEN,013948W,0.0,True
013949,BEN,013949,1775.0,True
013950,BEN,013950,1620.0,True
013950W,BEN,013950W,0.0,True
013952,BEN,013952,0.0,True
013953,BEN,013953,17.0,True
013954,BEN,013954,17.0,True
013962,BEN,013962,8.0,True
014000,BEN,014000,0.0,True
014003,BEN,014003,0.0,True
014003W,BEN,014003W,0.0,True
014004W,BEN,014004W,0.0,True
014004W-EXTRA,BEN,014004W-EXTRA,0.0,True
014008,BEN,014008,860.0,True
014008W,BEN,014008W,0.0,True
014010,BEN,014010,180.0,True
014010W,BEN,014010W,0.0,True
014014,BEN,014014,0.0,True
014065,BEN,014065,0.0,True
014065W,BEN,014065W,0.0,True
014066,BEN,014066,0.0,True
014067,BEN,014067,250.0,True
014088,BEN,014088,11.0,True
014089,BEN,014089,13.0,True
014090,BEN,014090,42.0,True
014090W,BEN,014090W,0.0,True
014175W,BEN,014175W,0.0,True
014176W,BEN,014176W,0.0,True
014177W,BEN,014177W,0.0,True
014226,BEN,014226,2.0,True
014228,BEN,014228,1.5,True
014238,BEN,014238,0.0,True
014240,BEN,014240,0.35,True
014241,BEN,014241,2.25,True
014251,BAR,014251,0.0,True
014253,BEN,014253,6.75,True
014253W,BEN,014253W,0.0,True
014359W,BEN,014359W,0.0,True
014360W,BEN,014360W,0.0,True
014361W,BEN,014361W,0.0,True
014362W,BEN,014362W,0.0,True
014368,BEN,014368,0.0,True
014373,BEN,014373,40.0,True
014374,BEN,014374,31.48,True
014531,BEN,014531,585.0,True
014531W,BEN,014531W,0.0,True
014533,BEN,014533,545.0,True
014533W,BEN,014533W,0.0,True
014534,BEN,014534,0.0,True
014753W,BEN,014753W,0.0,True
014754W,BEN,014754W,0.0,True
014755,BEN,014755,0.0,True
014773,BEN,014773,0.0,True
014792W,BEN,014792W,0.0,True
014795,BEN,014795,1340.0,True
014853,BEN,014853,18.0,True
014853W,BEN,014853W,0.0,True
014868,BEN,014868,0.0,True
014870,BEN,014870,0.0,True
014874,BEN,014874,2.6,True
014875,BEN,014875,0.0,True
014910,BEN,014910,510.0,True
014913,BEN,014913,495.0,True
014913W,BEN,014913W,0.0,True
014914,BEN,014914,160.0,True
014914W,BEN,014914W,0.0,True
014915W,BEN,014915W,0.0,True
014916,BEN,014916,0.0,True
014916W,BEN,014916W,0.0,True
014919,BEN,014919,470.0,True
014919W,BEN,014919W,0.0,True
014920,BEN,014920,0.0,True
014928,BEN,014928,1135.0,True
014932,BEN,014932,1135.0,True
014979,BEN,014979,0.0,True
014979w,BEN,014979w,0.0,True
014991,BAR,014991,0.0,True
015-00038,CHF,015-00038,99.92,True
015-0392,CHF,015-0392,454.48,True
015103,BEN,015103,350.0,True
015104,BEN,015104,0.0,True
015192,BEN,015192,0.0,True
015194,BEN,015194,0.0,True
015194W,BEN,015194W,0.0,True
015195,BEN,015195,600.0,True
015195W,BEN,015195W,0.0,True
015197,BEN,015197,0.0,True
015205,BEN,015205,110.0,True
015205W,BEN,015205W,0.0,True
015246,BEN,015246,57.0,True
015276,BEN,015276,9.0,True
015449,BEN,015449,0.0,True
015449-1,BEN,015449-1,0.0,True
015449-2,BEN,015449-2,0.0,True
015449W-BOOM,BEN,015449W-BOOM,0.0,True
015456,BEN,015456,0.0,True
015458,BEN,015458,0.0,True
01550-06207,SO,01550-06207,1.67,True
01550-08167,SO,01550-08167,2.07,True
01550-08457,SO,01550-08457,2.53,True
01550-12167,SO,01550-12167,2.59,True
01550-1230C,SO,01550-1230C,2.42,True
015521,BEN,015521,32.0,True
015522,BEN,015522,0.0,True
015522W,BEN,015522W,0.0,True
015628,BEN,015628,10.0,True
01570-06127,SO,01570-06127,1.81,True
015719W,BEN,015719W,0.0,True
015751,BEN,015751,0.0,True
015799,BEN,015799,0.0,True
015799W,BEN,015799W,0.0,True
015886W,BEN,015886W,0.0,True
016-9132,CHF,016-9132,700.0,True
016-9161,CHF,016-9161,440.0,True
016-9325,CHF,016-9325,460.0,True
016-9581,CHF,016-9581,370.0,True
016097,BEN,016097,0.0,True
016123,BEN,016123,0.0,True
016142,BEN,016142,0.0,True
016143,BEN,016143,0.0,True
016144,BEN,016144,95.0,True
016150,BEN,016150,105.0,True
016157,BEN,016157,1060.0,True
016177,BEN,016177,95.0,True
016178,BEN,016178,90.0,True
016210W,BEN,016210W,0.0,True
016211,BEN,016211,54.0,True
016226,BEN,016226,0.0,True
016250,BEN,016250,21.0,True
016258,BEN,016258,0.0,True
016259,BEN,016259,0.0,True
016320,BEN,016320,6.0,True
016322,BEN,016322,0.0,True
016324,BEN,016324,0.0,True
016327W,BEN,016327W,0.0,True
016381,BEN,016381,0.0,True
016384,BEN,016384,375.0,True
016404,BEN,016404,0.0,True
016408,BEN,016408,0.0,True
016409,BEN,016409,0.0,True
016410,BEN,016410,0.0,True
016413,BEN,016413,325.0,True
016417,BEN,016417,835.0,True
016466,BEN,016466,0.0,True
016663,BEN,016663,270.0,True
016674W,BEN,016674W,0.0,True
016686,BEN,016686,0.0,True
016686W,BEN,016686W,0.0,True
016836,BEN,016836,160.0,True
016939,BEN,016939,0.0,True
016960,BEN,016960,0.0,True
016961,BEN,016961,0.0,True
016971,BEN,016971,0.0,True
016974W,BEN,016974W,0.0,True
016982W,BEN,016982W,0.0,True
017-1035,CHF,017-1035,995.0,True
017005,BEN,017005,0.0,True
017007,BEN,017007,0.0,True
017012,BEN,017012,39.0,True
017056,BEN,017056,1605.0,True
017100,BEN,017100,21.0,True
017100W,BEN,017100W,0.0,True
017110,BEN,017110,0.0,True
017128,BEN,017128,23.0,True
017142,BEN,017142,1135.0,True
017143W,BEN,017143W,0.0,True
017144,BEN,017144,1215.0,True
017144W,BEN,017144W,0.0,True
017145,BEN,017145,1310.0,True
017145W,BEN,017145W,0.0,True
017146,BEN,017146,1630.0,True
017146W,BEN,017146W,0.0,True
017147,BEN,017147,1490.0,True
017147D,BEN,017147D,1043.0,True
017147W,BEN,017147W,0.0,True
017166,BEN,017166,0.0,True
017166W,BEN,017166W,0.0,True
017167W,BEN,017167W,0.0,True
017168,BEN,017168,9.0,True
017176,BEN,017176,0.0,True
017232,BEN,017232,30.0,True
017248,BEN,017248,132.0,True
017248W,BEN,017248W,0.0,True
017249,BEN,017249,128.0,True
017249W,BEN,017249W,0.0,True
017263,BEN,017263,0.0,True
017263W,BEN,017263W,0.0,True
017317,BEN,017317,23.0,True
017327,BEN,017327,105.0,True
017341,BEN,017341,0.0,True
017378,BEN,017378,2.75,True
017430,BEN,017430,7.0,True
017431,BEN,017431,7.0,True
017432,BEN,017432,680.0,True
017432W,BEN,017432W,0.0,True
017433,BEN,017433,860.0,True
017433W,BEN,017433W,0.0,True
017435,BEN,017435,0.0,True
017441,BEN,017441,0.0,True
017443,BEN,017443,1150.0,True
017453,BEN,017453,875.0,True
017453W,BEN,017453W,0.0,True
017460,BEN,017460,0.0,True
017462,BEN,017462,1450.0,True
017472,BEN,017472,0.0,True
017474W,BEN,017474W,0.0,True
017476,BEN,017476,10.0,True
017478,BEN,017478,0.0,True
017486,BEN,017486,585.0,True
017487,BEN,017487,745.0,True
017487W,BEN,017487W,0.0,True
017489,BEN,017489,605.0,True
017490,BEN,017490,635.0,True
017494,BEN,017494,190.0,True
017494W,BEN,017494W,0.0,True
017501,BEN,017501,675.0,True
017502,BEN,017502,16.0,True
017502W,BEN,017502W,0.0,True
017503,BEN,017503,40.0,True
017503W,BEN,017503W,0.0,True
017513,BEN,017513,0.0,True
017516W,BEN,017516W,0.0,True
017518,BEN,017518,5.25,True
017518W,BEN,017518W,0.0,True
017524,BEN,017524,0.0,True
017526,BEN,017526,75.0,True
017527W,BEN,017527W,0.0,True
017617,BEN,017617,100.0,True
017617W,BEN,017617W,0.0,True
017618,BEN,017618,95.0,True
017618W,BEN,017618W,0.0,True
017670W,BEN,017670W,0.0,True
017674,BEN,017674,2365.0,True
017676,BEN,017676,0.0,True
017683,BEN,017683,200.0,True
017695W,BEN,017695W,0.0,True
017697,BEN,017697,0.0,True
017738W,BEN,017738W,0.0,True
017745,BEN,017745,0.0,True
017784,BEN,017784,0.0,True
017784W,BEN,017784W,0.0,True
017785,BEN,017785,0.0,True
017786,BEN,017786,377.5,True
017787,BEN,017787,255.0,True
017787W,BEN,017787W,0.0,True
017793W,BEN,017793W,0.0,True
017798,BEN,017798,0.0,True
017818,BEN,017818,0.0,True
017834,BEN,017834,0.0,True
017853,BEN,017853,115.0,True
017853W,BEN,017853W,0.0,True
017859,BEN,017859,0.0,True
017859W,BEN,017859W,0.0,True
017867W,BEN,017867W,0.0,True
017882,BEN,017882,0.0,True
017917,BEN,017917,0.0,True
017918W,BEN,017918W,0.0,True
017936,BEN,017936,0.0,True
017938,BEN,017938,260.0,True
017939,BEN,017939,1295.0,True
017940,BEN,017940,725.0,True
017947,BEN,017947,0.0,True
017949,BEN,017949,0.0,True
017964,BEN,017964,185.0,True
017967W,BEN,017967W,0.0,True
017968,BEN,017968,2235.0,True
017968W,BEN,017968W,0.0,True
017969,BEN,017969,1260.0,True
017969W,BEN,017969W,0.0,True
017978,BEN,017978,1220.0,True
017982,BEN,017982,875.0,True
017982W,BEN,017982W,0.0,True
017984W,BEN,017984W,0.0,True
017987,BEN,017987,0.0,True
017994,BEN,017994,0.0,True
017994W,BEN,017994W,0.0,True
017996,BEN,017996,0.0,True
017999,BEN,017999,1255.0,True
018-00045,CHF,018-00045,106.0,True
018-3094,CHF,018-3094,303.14,True
018-3095,CHF,018-3095,303.14,True
018-3096,CHF,018-3096,175.0,True
018003,BAI,018003,1415.0,True
018010W,BEN,018010W,0.0,True
018025,BEN,018025,0.0,True
018032,BEN,018032,1040.0,True
018034,BEN,018034,160.0,True
018038,BEN,018038,230.0,True
018047,BEN,018047,0.0,True
018059,BEN,018059,365.0,True
018061,BEN,018061,0.0,True
018061W,BEN,018061W,0.0,True
018075,BEN,018075,1325.0,True
018075W,BEN,018075W,0.0,True
018081W,BEN,018081W,0.0,True
018091W,BEN,018091W,0.0,True
018105,BEN,018105,435.0,True
018108,BEN,018108,1610.0,True
018113,BEN,018113,0.0,True
018113W,BEN,018113W,0.0,True
018115,BEN,018115,415.0,True
018115W,BEN,018115W,0.0,True
018121W,BEN,018121W,0.0,True
018127,BEN,018127,13.0,True
018154,BEN,018154,0.0,True
018163,BEN,018163,0.0,True
018164,BEN,018164,0.0,True
018165,BEN,018165,380.0,True
018165W,BEN,018165W,0.0,True
018184,BEN,018184,0.0,True
018200069918,NFS,018200069918,13.775,True
018200110474,NFS,018200110474,12.125,True
018200202087,NFS,018200202087,15.6,True
018200202094,NFS,018200202094,13.3,True
018200202483,NFS,018200202483,9.7,True
018200530470,NFS,018200530470,12.125,True
018200610479,NFS,018200610479,8.875,True
018201,BEN,018201,0.0,True
018239,BEN,018239,125.0,True
018239W,BEN,018239W,0.0,True
018241,BEN,018241,0.0,True
018241W,BEN,018241W,0.0,True
018257W,BEN,018257W,0.0,True
018294,BEN,018294,0.0,True
018295,BEN,018295,0.0,True
018298,BEN,018298,0.0,True
018300,BEN,018300,0.0,True
018302W,BEN,018302W,0.0,True
018308,BEN,018308,0.0,True
018308W,BEN,018308W,0.0,True
018309,BEN,018309,195.0,True
018311W,BEN,018311W,0.0,True
018432W,BEN,018432W,0.0,True
018433,BEN,018433,84.0,True
018433w,BEN,018433w,0.0,True
018435,BEN,018435,9.5,True
018435W,BEN,018435W,0.0,True
018443,BEN,018443,0.0,True
018455,BEN,018455,335.0,True
018456W,BEN,018456W,0.0,True
018457,BEN,018457,105.0,True
018457W,BEN,018457W,0.0,True
018478,BEN,018478,125.0,True
018481,BEN,018481,12.75,True
018481W,BEN,018481W,0.0,True
018495,BEN,018495,105.0,True
018496W,BEN,018496W,0.0,True
01854422,NFS,01854422,4.17,True
018560,BEN,018560,420.0,True
018610,BEN,018610,0.0,True
018622W,BEN,018622W,0.0,True
018623,BEN,018623,0.0,True
018630,BEN,018630,0.0,True
018632,BEN,018632,0.0,True
018632W,BEN,018632W,0.0,True
018640W,BEN,018640W,0.0,True
018641W,BEN,018641W,0.0,True
018652,BEN,018652,205.0,True
018655,BEN,018655,134.0,True
018658,BEN,018658,200.0,True
018661W,BEN,018661W,0.0,True
018764W,BEN,018764W,0.0,True
018796,BEN,018796,14.0,True
018796W,BEN,018796W,0.0,True
018797,BEN,018797,19.0,True
018797W,BEN,018797W,0.0,True
018801,BEN,018801,11.75,True
018801W,BEN,018801W,0.0,True
018816,BEN,018816,0.0,True
019037,BEN,019037,0.0,True
019277,BEN,019277,5.75,True
019278,BEN,019278,5.75,True
019337W,BEN,019337W,0.0,True
019342,BEN,019342,84.0,True
019342W,BEN,019342W,0.0,True
019343W,BEN,019343W,0.0,True
019448,BEN,019448,4.0,True
019450,BEN,019450,0.0,True
019511,BEN,019511,200.0,True
019511W,BEN,019511W,0.0,True
019515,BEN,019515,0.0,True
019562,BEN,019562,0.0,True
019562W,BEN,019562W,0.0,True
019563,BEN,019563,0.0,True
019564,BEN,019564,0.0,True
019565,BEN,019565,0.0,True
019703,BEN,019703,185.0,True
019703W,BEN,019703W,0.0,True
019703W-EXTRA,BEN,019703W-EXTRA,0.0,True
019705,BEN,019705,0.0,True
019706,BEN,019706,0.0,True
019739,BEN,019739,0.0,True
019752,BEN,019752,29.0,True
019770W,BEN,019770W,0.0,True
019777,BEN,019777,0.0,True
019828,BEN,019828,95.0,True
019855W,BEN,019855W,0.0,True
019960,BEN,019960,72.0,True
019960W,BEN,019960W,0.0,True
019962,BEN,019962,280.0,True
020039,BEN,020039,0.0,True
020042,BEN,020042,43.0,True
020043,BEN,020043,0.0,True
020044,BEN,020044,0.0,True
020045,BEN,020045,0.0,True
020046,BEN,020046,0.0,True
020112,BEN,020112,0.0,True
020113,BEN,020113,0.0,True
020156,BEN,020156,0.0,True
020159,BEN,020159,0.0,True
020217,BEN,020217,0.0,True
020224,BEN,020224,0.0,True
020225,BEN,020225,0.0,True
020230W,BEN,020230W,0.0,True
020265,BEN,020265,6.75,True
020270,BEN,020270,50.0,True
020275,BEN,020275,0.0,True
020276,BEN,020276,0.0,True
020323,BEN,020323,415.0,True
020324,BEN,020324,511.5,True
020324W,BEN,020324W,0.0,True
020327,BEN,020327,248.55,True
020327W,BEN,020327W,0.0,True
020366,BEN,020366,37.0,True
020381,BEN,020381,4.75,True
020394,BEN,020394,0.0,True
020396,BEN,020396,0.0,True
020404,BEN,020404,0.0,True
020470,BEN,020470,220.0,True
020525,BEN,020525,3.25,True
020526,BEN,020526,3.25,True
020528,BEN,020528,3.5,True
020534,BEN,020534,3.25,True
020534W,BEN,020534W,0.0,True
020536W,BEN,020536W,0.0,True
020553,BEN,020553,8.0,True
020553W,BEN,020553W,0.0,True
020554,BEN,020554,8.75,True
020554W,BEN,020554W,0.0,True
020555,BEN,020555,0.0,True
020564,BEN,020564,0.0,True
020599,BEN,020599,0.0,True
020607,BEN,020607,7.0,True
020619,BEN,020619,0.0,True
020658W,BEN,020658W,0.0,True
020661,BEN,020661,0.0,True
020665W,BEN,020665W,0.0,True
020667,BEN,020667,685.0,True
020667W,BEN,020667W,0.0,True
020820,BEN,020820,1110.0,True
020821,BEN,020821,1000.0,True
020872,BEN,020872,945.0,True
020948W,BEN,020948W,0.0,True
020970,BEN,020970,835.0,True
021031,BEN,021031,38.0,True
021046,BEN,021046,155.0,True
021072,BEN,021072,60.0,True
021073,BEN,021073,71.0,True
021073W,BEN,021073W,0.0,True
021074,BEN,021074,37.0,True
021077W,BEN,021077W,0.0,True
021080,BEN,021080,0.0,True
021108W,BEN,021108W,0.0,True
021164,BEN,021164,0.0,True
021165,BEN,021165,0.0,True
021169,BEN,021169,0.0,True
021180W,BEN,021180W,0.0,True
021184W,BEN,021184W,0.0,True
021230,BEN,021230,0.0,True
021248W,BEN,021248W,0.0,True
021249W,BEN,021249W,0.0,True
021250W,BEN,021250W,0.0,True
021253W,BEN,021253W,0.0,True
021259,BEN,021259,0.0,True
021263,BEN,021263,0.0,True
021265,BEN,021265,80.0,True
0212657,BEN,0212657,0.0,True
021265W,BEN,021265W,0.0,True
021267,BEN,021267,80.0,True
021267W,BEN,021267W,0.0,True
021273,BEN,021273,0.0,True
021316W,BEN,021316W,0.0,True
021317W,BEN,021317W,0.0,True
021318W,BEN,021318W,0.0,True
021319W,BEN,021319W,0.0,True
021324,BEN,021324,130.0,True
021427W,BEN,021427W,0.0,True
021464W,BEN,021464W,0.0,True
021563W,BEN,021563W,0.0,True
021656W,BEN,021656W,0.0,True
021661W,BEN,021661W,0.0,True
021662W,BEN,021662W,0.0,True
021668W,BEN,021668W,0.0,True
021669W,BEN,021669W,0.0,True
021780W,BEN,021780W,0.0,True
021909,BEN,021909,26.0,True
021918W,BEN,021918W,0.0,True
021923,BEN,021923,33.0,True
022-0150-DL-WH,CW,022-0150-DL-WH,40.3,True
022-3006,CHF,022-3006,3.0,True
023057W,BEN,023057W,0.0,True
023210W,BEN,023210W,0.0,True
023264W,BEN,023264W,0.0,True
023270W,BEN,023270W,0.0,True
023274W,BEN,023274W,0.0,True
023495,BEN,023495,2.75,True
023651,BEN,023651,80.0,True
023651W,BEN,023651W,0.0,True
023652,BEN,023652,23.0,True
023652W,BEN,023652W,0.0,True
023685W,BEN,023685W,0.0,True
023759W,BEN,023759W,0.0,True
023761,BEN,023761,0.0,True
023827,BEN,023827,21.0,True
023827W,BEN,023827W,0.0,True
023850,BEN,023850,520.0,True
023914,BEN,023914,125.0,True
023917,BEN,023917,235.0,True
023952,BEN,023952,0.0,True
024-9048,CHF,024-9048,233.0,True
024-9049,CHF,024-9049,259.54,True
024-9050,CHF,024-9050,231.36,True
024-9091,CHF,024-9091,120.0,True
024051,BEN,024051,62.0,True
024065W,BEN,024065W,0.0,True
024097W,BEN,024097W,0.0,True
024098W,BEN,024098W,0.0,True
024165,BEN,024165,85.0,True
024304W,BEN,024304W,0.0,True
024368w,BEN,024368w,0.0,True
024369W,BEN,024369W,0.0,True
024941W,BEN,024941W,0.0,True
024943,BEN,024943,5.75,True
025-00031,CHF,025-00031,135.0,True
