part_number,description,category_code,quantity,public_price
007576W,CABLE CONTROL,ACC,0.0,0.0
008284,"CORNER CASTING,",ACC,0.0,111.75
008285,CORNER CASTING,ACC,0.0,111.75
008295,SWITCH DUAL BATTERY,ACC,6.0,76.99
008295W,SWITCH DUAL BATTERY,ACC,0.0,0.0
008587,CUPHOLDER SS,ACC,0.0,27.25
008598W,"INSERT, SS, RUB RAIL, 20'",ACC,0.0,0.0
008648,"LIGHT, NAVIGATION, LED",ACC,0.0,0.0
008709,"Trim Deck , Frt , SS, Rubrail",ACC,0.0,217.0
008709W,TRIM DECK FRT RUB RAIL,ACC,0.0,0.0
009031,"FOIL, SEALED, 212"" 6063,",ACC,0.0,199.99
009290,"BUS, WIRE, COMMAND",ACC,0.0,110.0
009562,"COVER, BATTERY, HDPE,",ACC,0.0,0.0
009574,"HOUSING,LED DK & NV",ACC,0.0,274.99
009575,"HOUSING,LED DK & NV",ACC,0.0,274.99
009583W,"RUB RAIL, INSERT, VINYL,",ACC,0.0,0.0
010-00029,"PAINT, PORTOFINO BLUE",ACC,0.0,669.99
010-00041,"GELCOAT, CREAMY",ACC,0.0,166.99
010-00042,"REPAIR GELCOAT,",ACC,0.0,165.0
010-00671-00,SENSOR-FUEL FLOW GFS,ACC,0.0,209.99
010-01516-01,Fusion MS-RA70 Stereo,ACC,0.0,315.2
010-01961-00,XDCR-GT30 SIDE/DWN,ACC,0.0,209.99
010-02093-51,GARMIN GPSMAP,ACC,0.0,1730.75
010-02366-60,GPSMAP943 US+CANADA,ACC,0.0,1499.99
010-02366-61,GPSMAP 943xsv,ACC,0.0,760.0
010-02367-61,GPSMAP1243XSV,ACC,0.0,3099.99
010-02552-00,STRIKER VIVID 7CV US W/,ACC,0.0,419.99
010-02553-00,STRIKER VIVID 7SV US,ACC,0.0,519.99
010-11326-00,ADAPTER-FLUID LEVEL,ACC,0.0,249.99
010-11617-10,GARMIN 4-PIN,ACC,0.0,35.99
010-12719-00,ADAPTER-XDCR CABLE,ACC,0.0,29.99
010-5007,"PAINT, MIDNIGHT BLUE ,",ACC,0.0,650.0
010-5008,"PAINT, DEEP SAPPHIRE",ACC,0.0,650.0
010-518,"Gel-Coat , Ivory Cream /",ACC,0.0,105.0
010-9518,"GELCOAT, CREAMY",ACC,0.0,25.0
010555,"BIMINI TOP, DOUBLE, 10'",ACC,0.0,3125.0
010555W,BIMINI TOP DOUBLE 10',ACC,0.0,0.0
010556,"CAMPER ENC,1/2,10',",ACV,0.0,0.0
010756,"BIMINI TOP,DOUBLE,",ACV,0.0,3122.0
010756W,"BIMINI TOP,DOUBLE,",ACV,0.0,0.0
010861W,BATTERY CBL DUAL,ACC,0.0,0.0
011210W,"HINGE 2"" X 2"" X 21"" SS",ACC,0.0,0.0
011212,POLE PLYPN CVR,ACC,0.0,75.0
011212W,POLE PLYPN CVR,ACC,0.0,0.0
011284,"LIGHT, LED, TERMINATED,",ACC,0.0,0.0
011367,"BOLT, 5/16-18 X 2-1/4, T-",ACC,0.0,3.39
011398W,DECK PLATE TWIST OUT,ACC,0.0,0.0
011449,"Door, Console Napa Beige",ACC,0.0,64.0
011503,"LOGO, ""B"", CHROME",ACC,0.0,34.99
011504,"LOGO, NAME, LRG,",ACA,0.0,84.0
011505,"LOGO, NAME, SML,",ACC,0.0,53.5
011518,Hinge S Cnsl Dr 12in Napa,ACC,0.0,9.0
011611,LOGO W NAME S LX LRG,ACC,0.0,16.99
011611W,LOGO W/NAME S/LX LRG,ACC,0.0,0.0
011612,LOGO W NAME S LX,ACC,0.0,16.75
011612W,LOGO W/NAME S/LX,ACC,0.0,0.0
011686,"SPLICE DECK TRIM 4""",ACC,0.0,0.0
011714W,"TRIM SKIRTING PT/ST 268""",ACC,0.0,0.0
011781,Curtain Privacy Chaise 19.00,ACV,0.0,159.9
011824,Latch Flush w/ Lock,ACC,0.0,28.5
011881,CAP FOR SKI PYLON RING,ACC,0.0,76.75
011906,"PAINT, ANODIZING,12 OZ",ACC,0.0,33.99
011930,GASKET THRU-HULL 1.75,ACC,0.0,0.0
011943,"STEERING WHEEL, 15"",",ACC,0.0,0.0
011943W,"STEERING WHEEL 15""",ACC,0.0,0.0
011944,"ARM REST, TEAK, R BEN-",ACC,0.0,115.0
011948,BLOCK CW SKI PYLON,ACC,0.0,32.0
011970,"WINDSHIELD, R & Q",ACC,0.0,0.0
011994,"LIGHT,COURTESY,PUSH",ACC,0.0,0.0
011994W,LIGHT COURTESY PUSH,ACC,0.0,0.0
012062,"PLAYPEN COVER, 20' / 21'",ACV,0.0,2400.0
012062D,"PLAYPEN COVER, 20' / 21'",ACV,0.0,1680.0
012062W,WARRANTY,ACC,0.0,0.0
012063,"PLAYPEN COVER, 22' / 23'",ACV,0.0,1999.0
012065,"PLAYPEN COVER, 24' / 25'",ACV,0.0,1949.99
012086,PANEL G BLANK EAK,ACC,0.0,109.0
012089,"PUMP,SEASTR PWR",ACC,0.0,0.0
012092,"PLAYPEN COVER, 19' ALL",ACC,0.0,0.0
012098,"FUEL LEVEL, 2IN 781436",ACC,0.0,46.75
012098W,"FUEL LEVEL, 2IN 781436",ACC,0.0,0.0
012100,"GAUGE,F/V/TR/MERC-",ACC,0.0,150.0
012100W,"GAUGE,F/V/TR/MERC-",ACC,0.0,0.0
012102,"TACH/HOURMETER,",ACC,0.0,168.99
012102W,"TACH/HOURMETER,",ACC,0.0,0.0
012103,"GAUGE,TRIM,",ACC,0.0,63.99
012103W,"GAUGE,TRIM,",ACC,0.0,0.0
012103W-EXTRA,"GAUGE,TRIM,",ACC,1.0,0.0
012126,"HAND RAIL,SM-3XGF,",ACC,0.0,0.0
012132,"DECAL, ""SALTWATER",ACC,0.0,47.0
012132W,DECAL SALTWATER,ACC,0.0,0.0
012199W,HARNESS SMRT-C,ACC,0.0,0.0
012224W,SHIM SKI PYLON CW,ACC,0.0,0.0
012255W,"FUEL SENDER 24"" FOR",ACC,0.0,0.0
012280,"PIN & LANYARD,1/4"" X",ACV,0.0,14.59
012288,"STOP, GATE, RIGHT, WITH",ACC,0.0,6.75
012290,"LADDER, CURVED,32"",2-",ACC,0.0,699.99
012290W,"LADDER CURVED 32"" 2-TB",ACC,0.0,0.0
012296,"POWER CORD, ECHO",ACC,0.0,23.99
012296W,CABLE PWR STRIKER,ACC,0.0,0.0
012312,KIT FUEL SYSTEM,ACC,0.0,0.0
012317,"CAP, GAS, BLACK,",ACC,5.0,36.99
012317W,CAP GAS BLACK DIURNAL,ACC,0.0,0.0
012321W,"CONSOLE FRP ""S""",ACC,0.0,0.0
012323,"HUNGE, GATE, SS, 1"" SLIP,",ACC,0.0,40.0
012323W,"HINGE GATE SS 1"" SLIP",ACC,0.0,0.0
012329,"DAMPER, BIMINI FOOT",ACC,0.0,2.09
012357,Pivot Bimini Alum Blk Slotted,ACC,0.0,10.0
012358,"INSERT,BIMINI FOOT,",ACC,0.0,21.25
012359,"INSERT,BIMINI FOOT,",ACC,0.0,22.95
012362,"NUMBERS, CRYSTAL CAP,",ACC,0.0,16.99
012362W,NUMBERS CRYSTAL CAP,ACC,0.0,0.0
012363,NUMBERS CRYSTAL CAP,ACC,0.0,17.5
012363W,NUMBERS CRYSTAL CAP,ACC,0.0,0.0
012364,"NUMBERS, CRYSTAL CAP,",ACC,0.0,16.75
012371,"WINDSHIELD, ""S""",ACC,0.0,108.5
012371W,"WINDSHIELD ""CLASSIC S""",ACC,0.0,0.0
012379,"HORN, UNDER-DECK",ACC,0.0,0.0
012493,"LOGO ""BENNINGTON"",",ACC,0.0,50.0
012493W,"LOGO ""BENNINGTON"",",ACC,0.0,0.0
012513,"Sender, 24GAL Fuel F2415F",ACC,0.0,105.0
012755W,TANK GAS XL-150 34 GAL,ACC,0.0,0.0
012787W,DIRECT FILL ASM,ACC,0.0,0.0
012797,NON SKID AFT,ACC,0.0,59.0
012797W,NON-SKID AFT PT/ST ST,ACC,0.0,0.0
012894,"TRIM, L TRIM, PLATINUM",ACC,0.0,0.0
012904,10' DBL BIMINI REAR -,ACV,0.0,1440.0
012904W,10' DBL BIMINI REAR,ACC,0.0,0.0
012905,10' DBL BIMINI FRONT,ACV,0.0,0.0
012911,HARNESS,AEL,0.0,475.0
012981,"GAUGE, SMARTCRAFT, 7K",ACC,0.0,0.0
012991,DBL BIMINI BOOT ONLY,ACV,0.0,0.0
013000,LIGHT ACTUTOR,ACC,0.0,31.75
013142,TRIM REAR,ACC,0.0,59.0
013146,TRIM DECK EXT AFT PORT,ACC,0.0,0.0
013236,"LIGHT, ALL-ROUND, 42"",",AEL,0.0,75.0
013314,"STOP, GATE, LEFT, WITH",ACC,2.0,4.99
013315,"STOP, GATE, LEFT, W/O",ACC,8.0,4.99
013318,BIM TOP & BT ARCH,ACC,0.0,2133.0
013387W,J-CLIPS FOR 2013 PPC,ACC,19.0,0.0
013389,"Gelcoat, Sandstone",ACC,0.0,42.5
013462,"LADDER, SS, FOUR-STEP",ACC,0.0,0.0
01349,PAINT - CUSTOM FILLED 1,ACC,0.0,0.0
013520,RECLINER ARMRESTS,ACC,0.0,325.0
013576,"LIGHT, NAV, LED, PRT,",AEN,0.0,68.5
013576W,"LIGHT, NAV, LED, PRT,",AEN,0.0,0.0
013577,"LIGHT, NAV, LED, STB,",AEN,0.0,71.99
013577W,"LIGHT, NAV, LED, STB,",AEN,0.0,0.0
013579,"ACTUATOR,POWER TOP,",ACC,0.0,1734.0
013579W,"ACTUATOR,POWER TOP,",ACC,0.0,0.0
013731W,"NUMBERS, CRYSTAL CAP",ACC,0.0,0.0
013732,"NUMBERS, CRYSTAL CAP,",ACC,0.0,0.0
013733,"LOGO, CRYSTAL CAP, ""S""",ACC,0.0,2.99
013740W,PONTOON RAIL SPACER,ACC,0.0,0.0
013741W,PONTOON RAIL SPACER,ACC,0.0,0.0
013749,"STOP,GATE,RIGHT,W /",ACC,0.0,0.0
013757,"TRIM, DECK, SIDE, 222.5""",ACC,0.0,300.0
013758,"TRIM,DCK,SIDE,SS RUB",ACC,0.0,129.99
013759W,TRIM DCK SIDE SS RUB,ACC,0.0,0.0
013773W,"SENDING UNIT 21"" 1288A",ACC,0.0,0.0
013948W,SKINS ONLY FULL FURN,ACC,0.0,0.0
013949,"BIMINI TOP, DOUBLE",ACC,0.0,2959.0
013950,ACTUATOR POWER TOP,ACC,0.0,2700.0
013950W,ACTUATOR POWER TOP,ACC,0.0,0.0
013952,BALL NSIDE EYE 316 SS,ACC,0.0,0.0
013953,"SOCKET, HNG W/PIN,",ACV,0.0,24.5
013954,"SOCKET, HNG W/PIN ,",ACV,0.0,24.5
013962,"BACKER, TABLE BASE",ACC,0.0,13.49
014000,"VENT, BLOWER, CHROME",ACC,0.0,0.0
014003,"WIRING HARNESS, 23 FT,",AEL,0.0,0.0
014003W,"WIRING HARNESS, 23',",ACC,0.0,0.0
014004W,HARNESS TRIM 23 FT,ACC,0.0,0.0
014004W-EXTRA,HARNESS TRIM 23 FT,ACC,1.0,0.0
014008,10 DBL BIM SHORT FRONT,ACV,0.0,1450.0
014008W,10 DBL BIM SHORT FRONT,ACV,0.0,0.0
014010,10' DBL BIM SHORT BOOT,ACC,0.0,304.99
014010W,10' DBL BIM SHORT BOOT,ACC,0.0,0.0
014014,"WASH DOWN,12""",ACC,0.0,0.0
014065,"LADDER GUARD, GRAY",ACC,0.0,0.0
014065W,LADDER GUARD GRAY,ACC,0.0,0.0
014066,"STRAP, LADDER, 6"" BLACK",ACC,0.0,0.0
014067,TRIM DK SIDE RUB RL,ACC,0.0,419.99
014088,"INSERT, BIM,FT,ALUM,",ACV,0.0,18.35
014089,INSERT BIM FOOT ALUM,ACC,0.0,21.7
014090,LIGHT BRIGHT LED FOR,ACC,0.0,69.99
014090W,LIGHT BRIGHT LED FOR,ACC,0.0,0.0
014175W,"SPEAKER KICKER 6""",ACC,0.0,0.0
014176W,"SPEAKER,KICKER,6""",ACC,0.0,0.0
014177W,"GRILL KICKER 6"" SILVER",ACC,0.0,0.0
014226,"NUT, BARREL 1/4-20 W/",ACV,0.0,3.35
014228,"BOLT, 1/4-20 SHOULDER ,",ACV,0.0,2.5
014238,"SCREW,10-24X3 PH",ACC,0.0,0.0
014240,"SCRW, 1/4-20X1-1/4 PH TR",ACV,0.0,0.69
014241,"SCRW, 1/4-20X1-1/2 PH TR",ACV,0.0,3.75
014251,STEREO - C/A CLS AM/FM,ACC,0.0,0.0
014253,BALL CHAIN FOR FUEL,ACC,0.0,11.0
014253W,BALL CHAIN FOR FUEL,ACC,0.0,0.0
014359W,"CIRCUIT BREAKER, 5 AMP",ACC,0.0,0.0
014360W,"CIRCUIT BREAKER, 6 AMP",ACC,0.0,0.0
014361W,"CIRCUIT BREAKER, 10",ACC,0.0,0.0
014362W,"CIRCUIT BREAKER, 15",ACC,0.0,0.0
014368,LIGHT DOCKING LED W SS,ACC,0.0,0.0
014373,"LIGHT HOUSING,",ACC,0.0,66.75
014374,"LIGHT HOUSING,",ACC,0.0,52.99
014531,"TOP/BOOT, 8.5' X 10',",ACV,0.0,979.0
014531W,"TOP/BOOT, 8.5' X 10',",ACV,0.0,0.0
014533,"TOP/BOOT, ELEC PWR",ACC,0.0,899.0
014533W,TOP/BOOT ELEC PWR,ACC,0.0,0.0
014534,"TOP/BOOT, STD, CURVED,",ACC,0.0,0.0
014753W,15' DBL BIM CURVED,ACC,0.0,0.0
014754W,15' DBL BIM CURVED,ACC,0.0,0.0
014755,15' DBL BIM CURVED,ACC,0.0,0.0
014773,WASHER ALUM LADDER,ACA,0.0,0.0
014792W,RUB RAIL INSERT VINYL,ACC,0.0,0.0
014795,BIMINI TOP 10' WIDE X 10',ACC,0.0,2240.0
014853,"HARNESS, ANCHOR LIGHT",AEL,0.0,30.0
014853W,"HARNESS, ANCHOR LIGHT",AEL,0.0,0.0
014868,Tach/ Hourmeter 7000 RPM,ACC,0.0,0.0
014870,"FUEL,VOLT,TRIM,",ACC,0.0,0.0
014874,"LOGO, CRYSTAL CAP, ""X""",ACC,0.0,4.99
014875,STRAP SET FUEL TANK,ACC,0.0,0.0
014910,"BIMINI TOP/BOTT, 8.5 X 9",ACC,0.0,850.0
014913,"BIMINI TOP ONLY, 8.5 X 10",ACV,0.0,752.3
014913W,"BIMINI TOP ONLY, 8.5 X 10",ACV,0.0,0.0
014914,"BIMINI,BOOT ONLY 8.5 X",ACC,0.0,279.0
014914W,"BIMINI,BOOT ONLY 8.5 X",ACC,0.0,0.0
014915W,BIMINI TOP ONLY ELECT,ACC,0.0,0.0
014916,"BIMINI BOOT ONLY, ELECT",ACC,0.0,0.0
014916W,BIMINI BOOT ONLY ELECT,ACC,0.0,0.0
014919,BIMINI TOP ONLY 8.5 X 10,ACC,0.0,789.0
014919W,BIMINI TOP ONLY 8.5 X 10,ACC,0.0,0.0
014920,"Boot, Bimini Only 8.5 X 10",ACV,0.0,162.5
014928,PLAYPEN COVER 8' WIDE,ACC,0.0,1892.0
014932,"COVER,BOW/COCKPIT,",ACV,0.0,1522.5
014979,"GAUGE, VOLT, 2"", ""S""",ACC,0.0,0.0
014979w,"GAUGE VOLT 2"" ""S""",ACC,0.0,0.0
014991,SEAL - HOLLOW D BULB,ACC,0.0,0.0
015-00038,TRANSOM LADDER SHIM,ACC,0.0,169.99
015-0392,"ACRYLIC,0.220 X 48"" X 96""",ACC,0.0,757.5
015103,Kicker KMC10 Stereo,AEN,0.0,425.0
015104,"REMOTE, MEDIA CENTER,",ACC,0.0,0.0
015192,"RADIO, ROUND, KICKER",ACC,0.0,0.0
015194,"PORT, USB WITH 3.5MM",ACC,0.0,0.0
015194W,"PORT, USB WITH 3.5MM",ACC,0.0,0.0
015195,"HELM, PRO TILT,",ACC,0.0,1000.0
015195W,"HELM, PRO TILT,",ACC,0.0,0.0
015197,HELM MECHIANSIM,PHA,0.0,0.0
015205,"TRANSDUCER,CV20-TM,",ACC,0.0,184.99
015205W,TRANSDUCER GT-20TM 4,ACC,0.0,0.0
015246,NLA LIGHT HOUSING,ACC,0.0,89.0
015276,"GRILL,SPKR,""B"" LOGO,",ACC,0.0,14.99
015449,MISC PARTS,ACC,0.0,0.0
015449-1,MISC PART B/W FORM NC,ACC,0.0,0.0
015449-2,MISC PART B/W FORM NC,ACC,0.0,0.0
015449W-BOOM,CARBON ARCH BASE,ACC,0.0,0.0
015456,"USB PORT, DUAL,",ACC,0.0,0.0
015458,"COUNTER TOP,FISH",ACC,0.0,0.0
01550-06207,BOLT,ACC,0.0,2.79
01550-08167,BOLT,ACC,0.0,3.47
01550-08457,BOLT,ACC,0.0,4.22
01550-12167,BOLT,ACC,0.0,4.32
01550-1230C,"BOLT,ENGINE HOO",ACC,0.0,4.04
015521,"SWIVEL, KINGPIN HI-RISE,",ACC,0.0,46.0
015522,AMP ONLY (AMP/SUB,ACC,0.0,0.0
015522W,AMP ONLY (AMP/SUB,ACC,0.0,0.0
015628,DECAL,ACC,0.0,17.99
01570-06127,BOLT,ACC,0.0,3.02
015719W,HINGE SWINGBACK SEAT,ACC,0.0,0.0
015751,Sandstone Portable Cup,ACV,0.0,0.0
015799,"SHOCK, GAS, 80 LB, 36.3"",",ACC,0.0,0.0
015799W,"SHOCK GAS 80 LB 36.3"" 10",ACC,0.0,0.0
015886W,"HINGE GATE SS 1"" SLIP",ACC,0.0,0.0
016-9132,"Teak, Walkover 27LN/LJ",ACC,0.0,875.0
016-9161,"Teak, Walkover Aft Seat",ACC,0.0,550.0
016-9325,"TEAK,TABLE,OVAL,",ACC,0.0,560.0
016-9581,"TEAK, ACCENT WINDOW",ACC,0.0,616.67
016097,"PLYFELT,CONSOLE,",ACC,0.0,0.0
016123,"BIMINI TOP ONLY, 8 X 10",ACC,0.0,0.0
016142,HEAD UNIT G05 XSE 000-,ACC,0.0,0.0
016143,TRANSDUCER W / 9 PIN 6',ACC,0.0,0.0
016144,"HEAD UNIT, STRIKER 4,",ACC,0.0,159.99
016150,"STEERING WHL,15"",",ACC,0.0,175.0
016157,RAIL SWINGBACK AFT S/G,ACC,0.0,1790.0
016177,"HARNESS, RGB",ACC,0.0,160.0
016178,HARNESS RGB EXTERIOR,ACC,0.0,150.0
016210W,RING PYLON NON-,ACC,0.0,0.0
016211,RECEIVER PYLON 1800044,ACC,0.0,90.0
016226,"MESH,SPKR,SS,STRB,FB,",ACC,0.0,0.0
016250,CHANNEL LIGHT TAPT,ACC,0.0,35.0
016258,"PAD,DASH,NEO,BLK,LFT &",ACC,0.0,0.0
016259,"EYEBROW, .187"",",ACV,0.0,0.0
016320,"SPLICE DECK TRIM 4""",ACC,0.0,10.0
016322,8.5 CLADDED REAR,ACC,0.0,0.0
016324,8.5 CLADDED REAR ARCH,ACC,0.0,0.0
016327W,12' ARCH TRACK TAC9720,ACC,0.0,0.0
016381,BLACKOUT PACKAGE N/C,ACC,0.0,0.0
016384,"HRNS, RGB, S 18-20-22 SL",ACC,0.0,629.0
016404,8.5 CLADDED REAR BOOT,ACV,0.0,0.0
016408,8.5 CLADDED FORWARD,ACC,0.0,0.0
016409,8.5 CLADDED FORWARD,ACA,0.0,0.0
016410,8.5 CLADDED FWD ARCH,ACC,0.0,0.0
016413,10' WIDE REAR BOOT,ACC,0.0,550.0
016417,10 CLADDED REAR,ACC,0.0,1399.0
016466,"GRILL, AFT SWINGBACK,",ACC,0.0,0.0
016663,CURTAIN PRIVACY SWBK,ACC,0.0,450.0
016674W,CABLE TRNSDCR EXT 9,ACC,0.0,0.0
016686,MISC PART CANVAS,ACC,0.0,0.0
016686W,MISC PART CANVAS,ACC,0.0,0.0
016836,LIGHT TAPELED RGB IP66,ACC,0.0,266.75
016939,"GATEWAY KIT, NMEA-2000",ACC,0.0,0.0
016960,LIGHT HOUSING PORT,ACC,0.0,0.0
016961,LIGHT HOUSING STBD,ACC,0.0,0.0
016971,"RADIO, SONY, AM/FM/CD",AEN,0.0,0.0
016974W,"STEERING WHEEL 15""",ACC,0.0,0.0
016982W,ARM REST R/Q,ACC,0.0,0.0
017-1035,SAPELE MAHOGANY,ACC,0.0,1699.99
017005,"ROD HOLDER (4 ROD),",ACC,0.0,0.0
017007,COUNTER TOP FISH,ACC,0.0,0.0
017012,DECK TRIM REAR,ACC,0.0,64.99
017056,BIMINI TOP DOUBLE,ACC,0.0,2675.0
017100,"CUPHOLDER, 304SS,",ACC,0.0,35.0
017100W,"CUPHOLDER, 304SS,",ACC,0.0,0.0
